genome	regulator	target
Streptomyces_coelicolor_A32	SCO0047	"SCO0044,SCO0045,SCO0046,SCO0047"
Streptomyces_coelicolor_A32	SCO0089	SCO6595
Streptomyces_coelicolor_A32	SCO0110	"SCO0110,SCO0111,SCO0361,SCO0366,SCO0367,SCO0370,SCO0386,SCO0387,SCO0475,SCO0476,SCO0759,SCO0791,SCO0869,SCO0870,SCO0999,SCO1034,SCO1040,SCO1319,SCO1499,SCO1548,SCO1824,SCO1825,SCO1982,SCO1983,SCO1985,SCO2021,SCO2242,SCO2243,SCO2299,SCO2345,SCO2363,SCO2364,SCO2383,SCO2418,SCO2443,SCO2501,SCO2502,SCO2504,SCO2574,SCO2575,SCO2615,SCO2628,SCO2629,SCO2684,SCO2688,SCO2796,SCO2910,SCO2932,SCO2965,SCO3086,SCO3145,SCO3182,SCO3183,SCO3184,SCO3230,SCO3230,SCO3231,SCO3302,SCO3546,SCO3604,SCO3634,SCO3768,SCO3769,SCO3774,SCO3774,SCO3774,SCO3786,SCO4035,SCO4036,SCO4126,SCO4201,SCO4223,SCO4224,SCO4225,SCO4226,SCO4227,SCO4346,SCO4400,SCO4408,SCO4409,SCO4535,SCO4561,SCO4596,SCO4597,SCO4601,SCO4628,SCO4698,SCO4699,SCO4699,SCO4772,SCO4859,SCO4947,SCO4980,SCO5001,SCO5074,SCO5188,SCO5229,SCO5230,SCO5249,SCO5261,SCO5333,SCO5544,SCO5549,SCO5673,SCO5779,SCO5884,SCO5885,SCO5886,SCO5890,SCO6062,SCO6121,SCO6122,SCO6159,SCO6167,SCO6172,SCO6173,SCO6254,SCO6255,SCO6278,SCO6288,SCO6335,SCO6385,SCO6409,SCO6410,SCO6418,SCO6428,SCO6510,SCO6535,SCO6570,SCO6590,SCO6610,SCO6614,SCO6807,SCO7002,SCO7038,SCO7097,SCO7102,SCO7185,SCO7207,SCO7211,SCO7263,SCO7318,SCO7406,SCO7816,SCO7822"
Streptomyces_coelicolor_A32	SCO0143	SCO0143
Streptomyces_coelicolor_A32	SCO0148	"SCO0147,SCO7513,SCO7514"
Streptomyces_coelicolor_A32	SCO0155	"SCO0154,SCO0155,SCO0329,SCO0330,SCO0970,SCO3981,SCO3982,SCO4270,SCO4271,SCO4454,SCO4480,SCO5237,SCO5238,SCO6075"
Streptomyces_coelicolor_A32	SCO0193	"SCO0193,SCO0194,SCO0229,SCO2706,SCO4059,SCO6772"
Streptomyces_coelicolor_A32	SCO0230	SCO0229
Streptomyces_coelicolor_A32	SCO0236	"SCO3388,SCO4259,SCO4548,SCO4628,SCO5901,SCO7422"
Streptomyces_coelicolor_A32	SCO0241	"SCO0241,SCO2293,SCO3012,SCO7563"
