gene_id,is_tf,functional_class,go_terms,metabolic_pathways,degree,in_degree,out_degree,betweenness_centrality,closeness_centrality,eigenvector_centrality
SCO_2711,False,,,,0,0,0,0.0,0.0,0.010977087289206643
SCO_6880,False,,,,0,0,0,0.0,0.0,0.010977087289206643
SCO_2479,False,,,,0,0,0,0.0,0.0,0.010977087289206643
SCO_0659,True,,GO:0003700;GO:0006355,,0,0,0,0.0,0.0,0.010977087289206643
SCO_5095,True,,,,0,0,0,0.0,0.0,0.010977087289206643
SCO_7964,False,,,,0,0,0,0.0,0.0,0.010977087289206643
SCO_6771,False,,,,0,0,0,0.0,0.0,0.010977087289206643
SCO_4851,False,,GO:0015035,,0,0,0,0.0,0.0,0.010977087289206643
SCO_2852,False,,,,0,0,0,0.0,0.0,0.010977087289206643
SCO_4697,False,,,,0,0,0,0.0,0.0,0.010977087289206643
SCO_7797,False,,,,0,0,0,0.0,0.0,0.010977087289206643
SCO_2047,False,,GO:0003700;GO:0006355,,0,0,0,0.0,0.0,0.010977087289206643
SCO_4512,False,,,,0,0,0,0.0,0.0,0.010977087289206643
SCO_8119,False,,,,0,0,0,0.0,0.0,0.010977087289206643
SCO_6793,False,,GO:0016491;GO:0006081,,0,0,0,0.0,0.0,0.010977087289206643
SCO_3621,False,,GO:0004672;GO:0005524;GO:0006468,,0,0,0,0.0,0.0,0.010977087289206643
SCO_0842,False,,,,0,0,0,0.0,0.0,0.010977087289206643
SCO_4806,False,,,,0,0,0,0.0,0.0,0.010977087289206643
SCO_7391,False,,,,0,0,0,0.0,0.0,0.010977087289206643
SCO_0112,False,,,,0,0,0,0.0,0.0,0.010977087289206643
SCO_5598,False,,GO:0008236;GO:0006508;GO:0016020;GO:0004252,Protein export - Streptomyces coelicolor (path:sco03060),0,0,0,0.0,0.0,0.010977087289206643
SCO_2838,False,,GO:0004553;GO:0030245,Starch and sucrose metabolism - Streptomyces coelicolor (path:sco00500); Metabolic pathways - Streptomyces coelicolor (path:sco01100); Two-component system - Streptomyces coelicolor (path:sco02020),0,0,0,0.0,0.0,0.010977087289206643
SCO_3409,False,,GO:0000287;GO:0004427;GO:0006796;GO:0005737,Oxidative phosphorylation - Streptomyces coelicolor (path:sco00190),0,0,0,0.0,0.0,0.010977087289206643
SCO_4228,False,,GO:0030643;GO:0045936,,0,0,0,0.0,0.0,0.010977087289206643
SCO_4394,False,,GO:0003677,,0,0,0,0.0,0.0,0.010977087289206643
SCO_3995,False,,,,0,0,0,0.0,0.0,0.010977087289206643
SCO_3628,False,,,,0,0,0,0.0,0.0,0.010977087289206643
SCO_5797,False,,,,0,0,0,0.0,0.0,0.010977087289206643
SCO_8183,False,,,,0,0,0,0.0,0.0,0.010977087289206643
SCO_6548,False,,GO:0004553;GO:0030246;GO:0005975;GO:0030245,Starch and sucrose metabolism - Streptomyces coelicolor (path:sco00500); Metabolic pathways - Streptomyces coelicolor (path:sco01100); Two-component system - Streptomyces coelicolor (path:sco02020),0,0,0,0.0,0.0,0.010977087289206643
SCO_4268,False,,,,0,0,0,0.0,0.0,0.010977087289206643
SCO_0188,False,,GO:0051537,,0,0,0,0.0,0.0,0.010977087289206643
SCO_1098,True,,GO:0003700;GO:0006355,,0,0,0,0.0,0.0,0.010977087289206643
SCO_8060,False,,,,0,0,0,0.0,0.0,0.010977087289206643
SCO_3906,False,,GO:0003735;GO:0019843;GO:0006412;GO:0005840,Ribosome - Streptomyces coelicolor (path:sco03010),0,0,0,0.0,0.0,0.010977087289206643
SCO_6760,False,Secondary Metabolism,GO:0051996;GO:0016767;GO:0016117;GO:0016765,Carotenoid biosynthesis - Streptomyces coelicolor (path:sco00906); Metabolic pathways - Streptomyces coelicolor (path:sco01100); Biosynthesis of secondary metabolites - Streptomyces coelicolor (path:sco01110),0,0,0,0.0,0.0,0.010977087289206643
SCO_4324,False,,,,0,0,0,0.0,0.0,0.010977087289206643
SCO_1588,False,,GO:0016020,,0,0,0,0.0,0.0,0.010977087289206643
SCO_0888,False,,GO:0016491,,0,0,0,0.0,0.0,0.010977087289206643
SCO_3910,False,,GO:0015297;GO:0042910;GO:0055085;GO:0016020,,0,0,0,0.0,0.0,0.010977087289206643
SCO_5098,False,,,,0,0,0,0.0,0.0,0.010977087289206643
SCO_1492,False,,,,0,0,0,0.0,0.0,0.010977087289206643
SCO_1682,False,,,,0,0,0,0.0,0.0,0.010977087289206643
SCO_3072,False,Amino Acid Metabolism,GO:0016787;GO:0016813,Pyrimidine metabolism - Streptomyces coelicolor (path:sco00240); beta-Alanine metabolism - Streptomyces coelicolor (path:sco00410); Pantothenate and CoA biosynthesis - Streptomyces coelicolor (path:sco00770); Metabolic pathways - Streptomyces coelicolor (path:sco01100),0,0,0,0.0,0.0,0.010977087289206643
SCO_1314,False,,GO:0016740,,0,0,0,0.0,0.0,0.010977087289206643
SCO_2709,False,,,,0,0,0,0.0,0.0,0.010977087289206643
SCO_0961,False,Secondary Metabolism,GO:0009058;GO:0008878;GO:0005978,Starch and sucrose metabolism - Streptomyces coelicolor (path:sco00500); Amino sugar and nucleotide sugar metabolism - Streptomyces coelicolor (path:sco00520); Metabolic pathways - Streptomyces coelicolor (path:sco01100); Biosynthesis of secondary metabolites - Streptomyces coelicolor (path:sco01110); Biosynthesis of nucleotide sugars - Streptomyces coelicolor (path:sco01250),0,0,0,0.0,0.0,0.010977087289206643
SCO_2039,False,Amino Acid Metabolism; Secondary Metabolism,GO:0004425;GO:0006568,"Phenylalanine, tyrosine and tryptophan biosynthesis - Streptomyces coelicolor (path:sco00400); Metabolic pathways - Streptomyces coelicolor (path:sco01100); Biosynthesis of secondary metabolites - Streptomyces coelicolor (path:sco01110); Biosynthesis of amino acids - Streptomyces coelicolor (path:sco01230)",0,0,0,0.0,0.0,0.010977087289206643
SCO_0811,False,,GO:0005524;GO:0016887,ABC transporters - Streptomyces coelicolor (path:sco02010),0,0,0,0.0,0.0,0.010977087289206643
SCO_1986,False,,GO:0016779,,0,0,0,0.0,0.0,0.010977087289206643
SCO_5563,False,,GO:0008972;GO:0009228,Thiamine metabolism - Streptomyces coelicolor (path:sco00730); Metabolic pathways - Streptomyces coelicolor (path:sco01100); Biosynthesis of cofactors - Streptomyces coelicolor (path:sco01240),0,0,0,0.0,0.0,0.010977087289206643
SCO_1042,False,,,,0,0,0,0.0,0.0,0.010977087289206643
SCO_5001,False,,,,0,0,0,0.0,0.0,0.010977087289206643
SCO_1521,False,,,,0,0,0,0.0,0.0,0.010977087289206643
SCO_4658,False,,,,0,0,0,0.0,0.0,0.010977087289206643
SCO_3637,False,,,,0,0,0,0.0,0.0,0.010977087289206643
SCO_1031,False,,,,0,0,0,0.0,0.0,0.010977087289206643
