SCC_ID,GeneID,Size
234,SCO3133,135
234,SCO3291,135
234,SCO3414,135
234,SCO7585,135
234,SCO0433,135
234,SCO3315,135
234,SCO5803,135
234,SCO6294,135
234,SCO3943,135
234,SCO0640,135
234,SCO2846,135
234,SCO3833,135
234,SCO5405,135
234,SCO6256,135
234,SCO4194,135
234,SCO2987,135
234,SCO1289,135
234,SCO0940,135
234,SCO4122,135
234,SCO7146,135
234,SCO6808,135
234,SCO5942,135
234,SCO5170,135
234,SCO6565,135
234,SCO5416,135
234,SCO1691,135
234,SCO3914,135
234,SCO6003,135
234,SCO6830,135
234,SCO4482,135
234,SCO7698,135
234,SCO6246,135
234,SCO3812,135
234,SCO1950,135
234,SCO6358,135
234,SCO3696,135
234,SCO7539,135
234,SCO2201,135
234,SCO4454,135
234,SCO6208,135
234,SCO2501,135
234,SCO7719,135
234,SCO1381,135
234,SCO2647,135
234,SCO7562,135
234,SCO4421,135
234,SCO2869,135
234,SCO3979,135
234,SCO7042,135
234,SCO7351,135
234,SCO7694,135
234,SCO6286,135
234,SCO2865,135
234,SCO6784,135
234,SCO1108,135
234,SCO3201,135
234,SCO4261,135
234,SCO6105,135
234,SCO1325,135
234,SCO4391,135
234,SCO4020,135
234,SCO1098,135
234,SCO1191,135
234,SCO7742,135
234,SCO2792,135
234,SCO3769,135
234,SCO7727,135
234,SCO6775,135
234,SCO7142,135
234,SCO5917,135
234,SCO0110,135
234,SCO0605,135
234,SCO2209,135
234,SCO7061,135
234,SCO1712,135
234,SCO5847,135
234,SCO6299,135
234,SCO6675,135
234,SCO1430,135
234,SCO2875,135
234,SCO6974,135
234,SCO7552,135
234,SCO0344,135
234,SCO0421,135
234,SCO0155,135
234,SCO3668,135
234,SCO1839,135
234,SCO7512,135
234,SCO0485,135
234,SCO5082,135
234,SCO6685,135
234,SCO0840,135
234,SCO7502,135
234,SCO3859,135
234,SCO7497,135
234,SCO7279,135
234,SCO7056,135
234,SCO5231,135
234,SCO4313,135
234,SCO2280,135
234,SCO4081,135
234,SCO0610,135
234,SCO6159,135
234,SCO1069,135
234,SCO0927,135
234,SCO7140,135
234,SCO4197,135
234,SCO3275,135
234,SCO3173,135
234,SCO5881,135
234,SCO4167,135
234,SCO2192,135
234,SCO6792,135
234,SCO4952,135
234,SCO5956,135
234,SCO4450,135
234,SCO6812,135
234,SCO3722,135
234,SCO2213,135
234,SCO6425,135
234,SCO4118,135
234,SCO5574,135
234,SCO7584,135
234,SCO4385,135
234,SCO0307,135
234,SCO7230,135
234,SCO5611,135
234,SCO4942,135
234,SCO0264,135
234,SCO1078,135
234,SCO4270,135
234,SCO2728,135
234,SCO4091,135
234,SCO7778,135
234,SCO5951,135
19,SCO1003,3
19,SCO0296,3
19,SCO4099,3
49,SCO0520,3
49,SCO0430,3
49,SCO1135,3
71,SCO0447,3
71,SCO7709,3
71,SCO7639,3
2,SCO6121,2
2,SCO2243,2
20,SCO3269,2
20,SCO3981,2
66,SCO3259,2
66,SCO5636,2
74,SCO0875,2
74,SCO3522,2
108,SCO7765,2
108,SCO2398,2
109,SCO0822,2
109,SCO0823,2
117,SCO4188,2
117,SCO4190,2
0,SCO0047,1
1,SCO1034,1
3,SCO0253,1
4,SCO0407,1
5,SCO7347,1
6,SCO6153,1
7,SCO7696,1
8,SCO1353,1
9,SCO1703,1
10,SCO7222,1
11,SCO2319,1
12,SCO5877,1
13,SCO2331,1
14,SCO3773,1
15,SCO0646,1
16,SCO0953,1
17,SCO7307,1
18,SCO7815,1
21,SCO0711,1
22,SCO1736,1
23,SCO0143,1
24,SCO4059,1
25,SCO0193,1
26,SCO0622,1
27,SCO1309,1
28,SCO1801,1
29,SCO7751,1
30,SCO0250,1
31,SCO0574,1
32,SCO2182,1
33,SCO4628,1
34,SCO0236,1
35,SCO6770,1
36,SCO1227,1
37,SCO3075,1
38,SCO4375,1
39,SCO5036,1
40,SCO0287,1
41,SCO2544,1
42,SCO1872,1
43,SCO0310,1
44,SCO0456,1
45,SCO0241,1
46,SCO0289,1
47,SCO5068,1
48,SCO0887,1
50,SCO0302,1
51,SCO0089,1
52,SCO0275,1
53,SCO0487,1
54,SCO0512,1
55,SCO0530,1
56,SCO0745,1
57,SCO4499,1
58,SCO2745,1
59,SCO7178,1
60,SCO0582,1
61,SCO1066,1
62,SCO1039,1
63,SCO0800,1
64,SCO1104,1
65,SCO3205,1
67,SCO4640,1
68,SCO2775,1
69,SCO0857,1
70,SCO7767,1
72,SCO4480,1
73,SCO6448,1
75,SCO3699,1
76,SCO3328,1
77,SCO7201,1
78,SCO4032,1
79,SCO1200,1
80,SCO5095,1
81,SCO0376,1
82,SCO0659,1
83,SCO0734,1
84,SCO3167,1
85,SCO4407,1
86,SCO1186,1
87,SCO2794,1
88,SCO1008,1
89,SCO4158,1
90,SCO4303,1
91,SCO4358,1
92,SCO6393,1
93,SCO4413,1
94,SCO1463,1
95,SCO1619,1
96,SCO0724,1
97,SCO0298,1
98,SCO0345,1
99,SCO0669,1
100,SCO2426,1
101,SCO0629,1
102,SCO0981,1
103,SCO1220,1
104,SCO1360,1
105,SCO1447,1
106,SCO5033,1
107,SCO0794,1
110,SCO4308,1
111,SCO6459,1
112,SCO2143,1
113,SCO3606,1
114,SCO2964,1
115,SCO3387,1
116,SCO3419,1
118,SCO6223,1
119,SCO6620,1
120,SCO6778,1
121,SCO7168,1
122,SCO2994,1
123,SCO4136,1
124,SCO5819,1
125,SCO5238,1
126,SCO6265,1
127,SCO1718,1
128,SCO1366,1
129,SCO3217,1
130,SCO5240,1
131,SCO3900,1
132,SCO6694,1
133,SCO7624,1
134,SCO6323,1
135,SCO7543,1
136,SCO4892,1
137,SCO0230,1
138,SCO1145,1
139,SCO1210,1
140,SCO1890,1
141,SCO4461,1
142,SCO6029,1
143,SCO6924,1
144,SCO7591,1
145,SCO4008,1
146,SCO5327,1
147,SCO2378,1
148,SCO5532,1
149,SCO7702,1
150,SCO5209,1
151,SCO0357,1
152,SCO1917,1
153,SCO3320,1
154,SCO1312,1
155,SCO4198,1
156,SCO1697,1
157,SCO0772,1
158,SCO5017,1
159,SCO3129,1
160,SCO1642,1
161,SCO1658,1
162,SCO1616,1
163,SCO4014,1
164,SCO5831,1
165,SCO2223,1
166,SCO2386,1
167,SCO2657,1
168,SCO4019,1
169,SCO3346,1
170,SCO5413,1
171,SCO5528,1
172,SCO6598,1
173,SCO5552,1
174,SCO3782,1
175,SCO3986,1
176,SCO7753,1
177,SCO3537,1
178,SCO7433,1
179,SCO7794,1
180,SCO6194,1
181,SCO5483,1
182,SCO5811,1
183,SCO2440,1
184,SCO4871,1
185,SCO7411,1
186,SCO3435,1
187,SCO3932,1
188,SCO6350,1
189,SCO7097,1
190,SCO7145,1
191,SCO4743,1
192,SCO7645,1
193,SCO4465,1
194,SCO5296,1
195,SCO4977,1
196,SCO0521,1
197,SCO1136,1
198,SCO1716,1
199,SCO3485,1
200,SCO3632,1
201,SCO4153,1
202,SCO1193,1
203,SCO4336,1
204,SCO4688,1
205,SCO5872,1
206,SCO7025,1
207,SCO5758,1
208,SCO7252,1
209,SCO3209,1
210,SCO4836,1
211,SCO4989,1
212,SCO5755,1
213,SCO7424,1
214,SCO6704,1
215,SCO6713,1
216,SCO4215,1
217,SCO6071,1
218,SCO5828,1
219,SCO7704,1
220,SCO1904,1
221,SCO4898,1
222,SCO0806,1
223,SCO0886,1
224,SCO2801,1
225,SCO5357,1
226,SCO1171,1
227,SCO5684,1
228,SCO6781,1
229,SCO6993,1
230,SCO7599,1
231,SCO7438,1
232,SCO2644,1
233,SCO5982,1
235,SCO0557,1
236,SCO0891,1
237,SCO1813,1
238,SCO1177,1
239,SCO1358,1
240,SCO1383,1
241,SCO2442,1
242,SCO2859,1
243,SCO4102,1
244,SCO3144,1
245,SCO3264,1
246,SCO3447,1
247,SCO3694,1
248,SCO3804,1
249,SCO4159,1
250,SCO4434,1
251,SCO4445,1
252,SCO4485,1
253,SCO4944,1
254,SCO4961,1
255,SCO5287,1
256,SCO6413,1
257,SCO6422,1
258,SCO6555,1
259,SCO6599,1
260,SCO6733,1
261,SCO6802,1
262,SCO7086,1
263,SCO7554,1
264,SCO7602,1
265,SCO7724,1
