GeneID,TF_Count,Regulating_TFs
SCO5329,28,"SCO0605,SCO0640,SCO1108,SCO1177,SCO1381,SCO2209,SCO2792,SCO2869,SCO2875,SCO2987,SCO3722,SCO4167,SCO4385,SCO4421,SCO4450,SCO5803,SCO5881,SCO5917,SCO5942,SCO6003,SCO6299,SCO6808,SCO6812,SCO7351,SCO7438,SCO7552,SCO7585,SCO7694"
SCO3230,23,"SCO0110,SCO1200,SCO1289,SCO2209,SCO2331,SCO2442,SCO2987,SCO2994,SCO3144,SCO3201,SCO3914,SCO4167,SCO4261,SCO4450,SCO5574,SCO5803,SCO6299,SCO6358,SCO6675,SCO6685,SCO7140,SCO7552,SCO7778"
SCO5331,20,"SCO0610,SCO0640,SCO2209,SCO2442,SCO2869,SCO3173,SCO3979,SCO4385,SCO4450,SCO4952,SCO5803,SCO5942,SCO5951,SCO6003,SCO6675,SCO6733,SCO7086,SCO7142,SCO7351,SCO7584"
SCO0492,20,"SCO0344,SCO0610,SCO1289,SCO2209,SCO3144,SCO3173,SCO3201,SCO4167,SCO4385,SCO4421,SCO5082,SCO5574,SCO5803,SCO7142,SCO7222,SCO7539,SCO7552,SCO7562,SCO7585,SCO7778"
SCO5729,16,"SCO0307,SCO0840,SCO0927,SCO2209,SCO2792,SCO2859,SCO3291,SCO3522,SCO4385,SCO4421,SCO4450,SCO5803,SCO5942,SCO6299,SCO7351,SCO7585"
SCO3261,16,"SCO0640,SCO0875,SCO1098,SCO2209,SCO2280,SCO2442,SCO2865,SCO3522,SCO3979,SCO4385,SCO4391,SCO4450,SCO5209,SCO6003,SCO7639,SCO7719"
SCO0432,15,"SCO0421,SCO0433,SCO0582,SCO1078,SCO1353,SCO2994,SCO4118,SCO4391,SCO6029,SCO6358,SCO7056,SCO7351,SCO7552,SCO7554,SCO7585"
SCO6004,15,"SCO0264,SCO0307,SCO0610,SCO0640,SCO1078,SCO2209,SCO2869,SCO2987,SCO4118,SCO4167,SCO4391,SCO5231,SCO5574,SCO6003,SCO7585"
SCO4699,14,"SCO0110,SCO0610,SCO2280,SCO3173,SCO3632,SCO3979,SCO4391,SCO4450,SCO4952,SCO5082,SCO5917,SCO5942,SCO7554,SCO7585"
SCO4630,14,"SCO0640,SCO1430,SCO2143,SCO2209,SCO2280,SCO3722,SCO4167,SCO4450,SCO5942,SCO5951,SCO6358,SCO6812,SCO7554,SCO7585"
SCO6627,14,"SCO0940,SCO1200,SCO2209,SCO2875,SCO3173,SCO3201,SCO3722,SCO4167,SCO4385,SCO6675,SCO6808,SCO7086,SCO7140,SCO7351"
SCO7176,14,"SCO0433,SCO1289,SCO1353,SCO2280,SCO2792,SCO3173,SCO4167,SCO6294,SCO6675,SCO6792,SCO7178,SCO7552,SCO7554,SCO7562"
SCO5748,13,"SCO0433,SCO0582,SCO2209,SCO4091,SCO4167,SCO4261,SCO4385,SCO5082,SCO5552,SCO5574,SCO5881,SCO7142,SCO7585"
SCO6428,13,"SCO0110,SCO0582,SCO0610,SCO0640,SCO1078,SCO2442,SCO2869,SCO3144,SCO5574,SCO5803,SCO5877,SCO6358,SCO7552"
SCO5159,13,"SCO0332,SCO0640,SCO0823,SCO2213,SCO2987,SCO4032,SCO4336,SCO4450,SCO4961,SCO5942,SCO6565,SCO6685,SCO7061"
SCO4032,13,"SCO1200,SCO3859,SCO3914,SCO4032,SCO4194,SCO4336,SCO4450,SCO4961,SCO5287,SCO5803,SCO6299,SCO7061,SCO7585"
SCO3869,13,"SCO0433,SCO1289,SCO1691,SCO2192,SCO2280,SCO3144,SCO3173,SCO3201,SCO4091,SCO4102,SCO4167,SCO4261,SCO5803"
SCO6840,13,"SCO2209,SCO2280,SCO2869,SCO3201,SCO3209,SCO3914,SCO4118,SCO4167,SCO6733,SCO7222,SCO7351,SCO7562,SCO7719"
SCO3098,13,"SCO0307,SCO0344,SCO0433,SCO0605,SCO1712,SCO4091,SCO4421,SCO4450,SCO5942,SCO7230,SCO7279,SCO7351,SCO7585"
