u,v,w,count
"SCO0047","SCO0047","SCO0044",1
"SCO0047","SCO0047","SCO0045",1
"SCO0047","SCO0047","SCO0046",1
"SCO0110","SCO0110","SCO0111",1
"SCO0110","SCO0110","SCO0361",1
"SCO0110","SCO0110","SCO0366",1
"SCO0110","SCO0110","SCO0367",1
"SCO0110","SCO0110","SCO0370",1
"SCO0110","SCO0110","SCO0386",1
"SCO0110","SCO0110","SCO0387",1
"SCO0110","SCO0110","SCO0475",1
"SCO0110","SCO0110","SCO0476",1
"SCO0110","SCO0110","SCO0759",1
"SCO0110","SCO0110","SCO0791",1
"SCO0110","SCO0110","SCO0869",1
"SCO0110","SCO0110","SCO0870",1
"SCO0110","SCO0110","SCO0999",1
"SCO0110","SCO0110","SCO1034",1
"SCO0110","SCO0110","SCO1040",1
"SCO0110","SCO0110","SCO1319",1
"SCO0110","SCO0110","SCO1499",1
"SCO0110","SCO0110","SCO1548",1
"SCO0110","SCO0110","SCO1824",1
"SCO0110","SCO0110","SCO1825",1
"SCO0110","SCO0110","SCO1982",1
"SCO0110","SCO0110","SCO1983",1
"SCO0110","SCO0110","SCO1985",1
"SCO0110","SCO0110","SCO2021",1
"SCO0110","SCO0110","SCO2242",1
"SCO0110","SCO0110","SCO2243",1
"SCO0110","SCO0110","SCO2299",1
"SCO0110","SCO0110","SCO2345",1
"SCO0110","SCO0110","SCO2363",1
"SCO0110","SCO0110","SCO2364",1
"SCO0110","SCO0110","SCO2383",1
"SCO0110","SCO0110","SCO2418",1
"SCO0110","SCO0110","SCO2443",1
"SCO0110","SCO0110","SCO2501",1
"SCO0110","SCO0110","SCO2502",1
"SCO0110","SCO0110","SCO2504",1
"SCO0110","SCO0110","SCO2574",1
"SCO0110","SCO0110","SCO2575",1
"SCO0110","SCO0110","SCO2615",1
"SCO0110","SCO0110","SCO2628",1
"SCO0110","SCO0110","SCO2629",1
"SCO0110","SCO0110","SCO2684",1
"SCO0110","SCO0110","SCO2688",1
"SCO0110","SCO0110","SCO2796",1
"SCO0110","SCO0110","SCO2910",1
"SCO0110","SCO0110","SCO2932",1
