"GeneID","Entry.x","Reviewed.x","Entry Name.x","Protein names.x","Gene_Names_Original.x","Length.x","Gene Names (synonym).x","Entry.y","Reviewed.y","Entry Name.y","Protein names.y","Gene_Names_Original.y","Length.y","Gene Names (synonym).y","KEGG_ID","GO_Terms","GO_Count","Metabolic_Pathways","Pathway_Count","Regulating_TFs","TF_Count","Is_TF","Regulates_Genes","Target_Count","Has_UniProt","Has_KEGG","Has_GO","Has_Pathway","Has_TF_Regulation","Annotation_Score","In_Carbon_Metabolism","In_Amino_Acid_Metabolism","In_Secondary_Metabolism","In_Actinorhodin","In_Prodigiosin","In_Calcium_Dependent_Antibiotic","In_Coelimycin_P1","In_Methylenomycin","In_Desferrioxamine","Functional_Class"
"SCO2119","O08333","reviewed","PFP_STRCO","Pyrophosphate--fructose 6-phosphate 1-phosphotransferase (EC 2.7.1.90) (6-phosphofructokinase, pyrophosphate dependent) (PPi-dependent phosphofructokinase) (PPi-PFK) (Pyrophosphate-dependent 6-phosphofructose-1-kinase)","pfkA1 pfk1 pfkA pfp SCO2119 SC6E10.13c",342,"pfk1 pfkA pfp","O08333","reviewed","PFP_STRCO","Pyrophosphate--fructose 6-phosphate 1-phosphotransferase (EC 2.7.1.90) (6-phosphofructokinase, pyrophosphate dependent) (PPi-dependent phosphofructokinase) (PPi-PFK) (Pyrophosphate-dependent 6-phosphofructose-1-kinase)","pfkA1 pfk1 pfkA pfp SCO2119 SC6E10.13c",342,"pfk1 pfkA pfp","sco:SCO2119","GO:0003872;GO:0006096;GO:0047334;GO:0006002;GO:0005524;GO:0008443",6,"Glycolysis / Gluconeogenesis - Streptomyces coelicolor (path:sco00010); Pentose phosphate pathway - Streptomyces coelicolor (path:sco00030); Fructose and mannose metabolism - Streptomyces coelicolor (path:sco00051); Galactose metabolism - Streptomyces coelicolor (path:sco00052); Methane metabolism - Streptomyces coelicolor (path:sco00680); Metabolic pathways - Streptomyces coelicolor (path:sco01100); Biosynthesis of secondary metabolites - Streptomyces coelicolor (path:sco01110); Microbial metabolism in diverse environments - Streptomyces coelicolor (path:sco01120); Carbon metabolism - Streptomyces coelicolor (path:sco01200); Biosynthesis of amino acids - Streptomyces coelicolor (path:sco01230)",10,NA,0,FALSE,NA,0,FALSE,TRUE,TRUE,TRUE,FALSE,3,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Carbon Metabolism; Secondary Metabolism"
"SCO6681","O88037","reviewed","RAMC_STRCO","Probable SapB synthase (EC 2.7.-.-)","ramC SCO6681",930,"NA","O88037","reviewed","RAMC_STRCO","Probable SapB synthase (EC 2.7.-.-)","ramC SCO6681",930,"NA","sco:SCO6681","GO:0004672;GO:0005524;GO:0006468",3,NA,0,NA,0,FALSE,NA,0,FALSE,TRUE,TRUE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"SCO6682","O88038","reviewed","LANSB_STRCO","Lanthionine-containing peptide SapB precursor RamS (ProSapB) [Cleaved into: Lanthionine-containing peptide SapB (Morphogen SapB) (Rapid aerial mycelium protein S) (Spore-associated protein B)]","ramS SCO6682 SC5A7.32",42,"NA","O88038","reviewed","LANSB_STRCO","Lanthionine-containing peptide SapB precursor RamS (ProSapB) [Cleaved into: Lanthionine-containing peptide SapB (Morphogen SapB) (Rapid aerial mycelium protein S) (Spore-associated protein B)]","ramS SCO6682 SC5A7.32",42,"NA","sco:SCO6682",NA,0,NA,0,NA,0,FALSE,NA,0,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"SCO1613","O88070","reviewed","GLNA4_STRCO","Gamma-glutamylethanolamide synthetase GlnA4 (EC 6.3.1.-)","glnA4 SCO1613",462,"NA","O88070","reviewed","GLNA4_STRCO","Gamma-glutamylethanolamide synthetase GlnA4 (EC 6.3.1.-)","glnA4 SCO1613",462,"NA","sco:SCO1613","GO:0004356",1,"Arginine biosynthesis - Streptomyces coelicolor (path:sco00220); Alanine, aspartate and glutamate metabolism - Streptomyces coelicolor (path:sco00250); Glyoxylate and dicarboxylate metabolism - Streptomyces coelicolor (path:sco00630); Nitrogen metabolism - Streptomyces coelicolor (path:sco00910); Metabolic pathways - Streptomyces coelicolor (path:sco01100); Biosynthesis of secondary metabolites - Streptomyces coelicolor (path:sco01110); Microbial metabolism in diverse environments - Streptomyces coelicolor (path:sco01120); Biosynthesis of amino acids - Streptomyces coelicolor (path:sco01230); Two-component system - Streptomyces coelicolor (path:sco02020)",9,NA,0,FALSE,NA,0,FALSE,TRUE,TRUE,TRUE,FALSE,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Amino Acid Metabolism; Secondary Metabolism"
"SCO1961","P15474","reviewed","AROQ_STRCO","3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)","aroQ SCO1961 SCC54.21c",157,"NA","P15474","reviewed","AROQ_STRCO","3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type II DHQase)","aroQ SCO1961 SCC54.21c",157,"NA","sco:SCO1961","GO:0003855",1,"Phenylalanine, tyrosine and tryptophan biosynthesis - Streptomyces coelicolor (path:sco00400); Metabolic pathways - Streptomyces coelicolor (path:sco01100); Biosynthesis of secondary metabolites - Streptomyces coelicolor (path:sco01110); Biosynthesis of amino acids - Streptomyces coelicolor (path:sco01230)",4,NA,0,FALSE,NA,0,FALSE,TRUE,TRUE,TRUE,FALSE,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Amino Acid Metabolism; Secondary Metabolism"
"SCO2050","P16250","reviewed","HIS4_STRCO","Phosphoribosyl isomerase A (1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase) (EC 5.3.1.16) (N-(5'-phosphoribosyl)anthranilate isomerase) (PRAI) (EC 5.3.1.24) (Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase)","priA hisA SCO2050 SC4G6.19c",240,"hisA","P16250","reviewed","HIS4_STRCO","Phosphoribosyl isomerase A (1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase) (EC 5.3.1.16) (N-(5'-phosphoribosyl)anthranilate isomerase) (PRAI) (EC 5.3.1.24) (Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase)","priA hisA SCO2050 SC4G6.19c",240,"hisA","sco:SCO2050","GO:0003949;GO:0000105;GO:0004640;GO:0000162;GO:0005737",5,"Histidine metabolism - Streptomyces coelicolor (path:sco00340); Phenylalanine, tyrosine and tryptophan biosynthesis - Streptomyces coelicolor (path:sco00400); Metabolic pathways - Streptomyces coelicolor (path:sco01100); Biosynthesis of secondary metabolites - Streptomyces coelicolor (path:sco01110); Biosynthesis of amino acids - Streptomyces coelicolor (path:sco01230)",5,NA,0,FALSE,NA,0,FALSE,TRUE,TRUE,TRUE,FALSE,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Amino Acid Metabolism; Secondary Metabolism"
"SCO4423","P54741","reviewed","AFSK_STRCO","Serine/threonine-protein kinase AfsK (EC 2.7.11.1)","afsK SCO4423 SC6F11.21 SCD6.01",799,"NA","P54741","reviewed","AFSK_STRCO","Serine/threonine-protein kinase AfsK (EC 2.7.11.1)","afsK SCO4423 SC6F11.21 SCD6.01",799,"NA","sco:SCO4423","GO:0004672;GO:0005524;GO:0006468",3,NA,0,NA,0,FALSE,NA,0,FALSE,TRUE,TRUE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"SCO2595","P95722","reviewed","OBG_STRCO","GTPase Obg (EC 3.6.5.-) (GTP-binding protein Obg)","obg SCO2595 SCC88.06c",478,"NA","P95722","reviewed","OBG_STRCO","GTPase Obg (EC 3.6.5.-) (GTP-binding protein Obg)","obg SCO2595 SCC88.06c",478,"NA","sco:SCO2595","GO:0005525;GO:0000287;GO:0003924",3,NA,0,NA,0,FALSE,NA,0,FALSE,TRUE,TRUE,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"SCO6685","Q7AKE4","reviewed","RAMR_STRCO","Response regulator RamR (Transcriptional activator RamR)","ramR SCO6685",202,"NA","Q7AKE4","reviewed","RAMR_STRCO","Response regulator RamR (Transcriptional activator RamR)","ramR SCO6685",202,"NA","sco:SCO6685","GO:0006355",1,NA,0,"AdpA (activation)",1,FALSE,NA,0,FALSE,TRUE,TRUE,FALSE,TRUE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
"SCO5217","Q7AKG8","reviewed","RSRA_STRCO","Anti-sigma factor RsrA (Regulator of SigR) (Sigma-R anti-sigma factor RsrA)","rsrA SCO5217",105,"NA","Q7AKG8","reviewed","RSRA_STRCO","Anti-sigma factor RsrA (Regulator of SigR) (Sigma-R anti-sigma factor RsrA)","rsrA SCO5217",105,"NA","sco:SCO5217",NA,0,NA,0,NA,0,FALSE,NA,0,FALSE,TRUE,FALSE,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA
