SCO_id,positions_joined,GeneID,Entry.x,Reviewed.x,Entry Name.x,Protein names.x,Gene_Names_Original.x,Length.x,Gene Names (synonym).x,Entry.y,Reviewed.y,Entry Name.y,Protein names.y,Gene_Names_Original.y,Length.y,Gene Names (synonym).y,KEGG_ID,GO_Terms,GO_Count,Metabolic_Pathways,Pathway_Count,Regulating_TFs,TF_Count,Is_TF,Regulates_Genes,Target_Count,Has_UniProt,Has_KEGG,Has_GO,Has_Pathway,Has_TF_Regulation,Annotation_Score,In_Carbon_Metabolism,In_Amino_Acid_Metabolism,In_Secondary_Metabolism,In_Actinorhodin,In_Prodigiosin,In_Calcium_Dependent_Antibiotic,In_Coelimycin_P1,In_Methylenomycin,In_Desferrioxamine,Functional_Class
SCO0037,LIB#2:A1; LIB#2:B1,SCO0037,Q9S1V5,unreviewed,Q9S1V5_STRCO,Sigma factor,SCO0037 SCJ4.18c,250.0,,Q9S1V5,unreviewed,Q9S1V5_STRCO,Sigma factor,SCO0037 SCJ4.18c,250.0,,sco:SCO0037,GO:0003677;GO:0003700;GO:0016987;GO:0006352;GO:0006355,5,,0,,0,False,,0,False,True,True,False,False,2,False,False,False,False,False,False,False,False,False,
SCO0038,LIB#2:C1; LIB#2:D1,SCO0038,Q9S1V4,unreviewed,Q9S1V4_STRCO,Sigma factor,SCO0038 SCJ4.19c,42.0,,Q9S1V4,unreviewed,Q9S1V4_STRCO,Sigma factor,SCO0038 SCJ4.19c,42.0,,sco:SCO0038,,0,,0,SCO1289,1,False,,0,False,True,False,False,False,1,False,False,False,False,False,False,False,False,False,
SCO0047,LIB#2:E1; LIB#2:F1,SCO0047,Q9S1U5,unreviewed,Q9S1U5_STRCO,Transcriptional regulator,SCO0047 SCJ4.28c,384.0,,Q9S1U5,unreviewed,Q9S1U5_STRCO,Transcriptional regulator,SCO0047 SCJ4.28c,384.0,,sco:SCO0047,GO:0003700;GO:0006355,2,,0,"SCO0047,SCO0940,SCO4167,SCO4385,SCO6105",5,True,"SCO0044,SCO0045,SCO0046,SCO0047",4,False,True,True,False,False,2,False,False,False,False,False,False,False,False,False,
SCO0062,LIB#2:G1; LIB#2:H1,SCO0062,Q9S1T0,unreviewed,Q9S1T0_STRCO,LacI family transcriptional regulator,SCO0062 SCJ4.43c,367.0,,Q9S1T0,unreviewed,Q9S1T0_STRCO,LacI family transcriptional regulator,SCO0062 SCJ4.43c,367.0,,sco:SCO0062,GO:0003677;GO:0006355,2,,0,"SCO3435,SCO4421,SCO5611,SCO5942,SCO7585",5,False,,0,False,True,True,False,False,2,False,False,False,False,False,False,False,False,False,
SCO0089,LIB#2:A2; LIB#2:B2,SCO0089,Q9RI86,unreviewed,Q9RI86_STRCO,Transcriptional regulator,SCO0089 SCJ11.18,345.0,,Q9RI86,unreviewed,Q9RI86_STRCO,Transcriptional regulator,SCO0089 SCJ11.18,345.0,,sco:SCO0089,GO:0003700;GO:0006355,2,,0,"SCO4167,SCO7351",2,True,SCO6595,1,False,True,True,False,False,2,False,False,False,False,False,False,False,False,False,
SCO0110,LIB#2:C2; LIB#2:D2,SCO0110,Q9RI67,unreviewed,Q9RI67_STRCO,DNA-binding protein,SCO0110 SCJ11.39c,279.0,,Q9RI67,unreviewed,Q9RI67_STRCO,DNA-binding protein,SCO0110 SCJ11.39c,279.0,,sco:SCO0110,GO:0003677,1,,0,"SCO0110,SCO2501,SCO3173,SCO3812,SCO7351",5,True,"SCO0110,SCO0111,SCO0361,SCO0366,SCO0367,SCO0370,SCO0386,SCO0387,SCO0475,SCO0476,SCO0759,SCO0791,SCO0869,SCO0870,SCO0999,SCO1034,SCO1040,SCO1319,SCO1499,SCO1548,SCO1824,SCO1825,SCO1982,SCO1983,SCO1985,SCO2021,SCO2242,SCO2243,SCO2299,SCO2345,SCO2363,SCO2364,SCO2383,SCO2418,SCO2443,SCO2501,SCO2502,SCO2504,SCO2574,SCO2575,SCO2615,SCO2628,SCO2629,SCO2684,SCO2688,SCO2796,SCO2910,SCO2932,SCO2965,SCO3086,SCO3145,SCO3182,SCO3183,SCO3184,SCO3230,SCO3231,SCO3302,SCO3546,SCO3604,SCO3634,SCO3768,SCO3769,SCO3774,SCO3786,SCO4035,SCO4036,SCO4126,SCO4201,SCO4223,SCO4224,SCO4225,SCO4226,SCO4227,SCO4346,SCO4400,SCO4408,SCO4409,SCO4535,SCO4561,SCO4596,SCO4597,SCO4601,SCO4628,SCO4698,SCO4699,SCO4772,SCO4859,SCO4947,SCO4980,SCO5001,SCO5074,SCO5188,SCO5229,SCO5230,SCO5249,SCO5261,SCO5333,SCO5544,SCO5549,SCO5673,SCO5779,SCO5884,SCO5885,SCO5886,SCO5890,SCO6062,SCO6121,SCO6122,SCO6159,SCO6167,SCO6172,SCO6173,SCO6254,SCO6255,SCO6278,SCO6288,SCO6335,SCO6385,SCO6409,SCO6410,SCO6418,SCO6428,SCO6510,SCO6535,SCO6570,SCO6590,SCO6610,SCO6614,SCO6807,SCO7002,SCO7038,SCO7097,SCO7102,SCO7185,SCO7207,SCO7211,SCO7263,SCO7318,SCO7406,SCO7816,SCO7822",141,False,True,True,False,False,2,False,False,False,False,False,False,False,False,False,
SCO0116,LIB#2:E2; LIB#2:F2,SCO0116,Q9RI62,unreviewed,Q9RI62_STRCO,TetR-family transcriptional regulator,SCO0116 SCJ11.45c,188.0,,Q9RI62,unreviewed,Q9RI62_STRCO,TetR-family transcriptional regulator,SCO0116 SCJ11.45c,188.0,,sco:SCO0116,GO:0003677,1,,0,"SCO4167,SCO6808",2,False,,0,False,True,True,False,False,2,False,False,False,False,False,False,False,False,False,
SCO0132,LIB#2:G2; LIB#2:H2,SCO0132,Q9S1Z4,unreviewed,Q9S1Z4_STRCO,Probable transcriptional regulator,SCO0132 SCJ21.13,919.0,,Q9S1Z4,unreviewed,Q9S1Z4_STRCO,Probable transcriptional regulator,SCO0132 SCJ21.13,919.0,,sco:SCO0132,GO:0006355,1,,0,"SCO0307,SCO3201,SCO4091,SCO4167,SCO5574",5,False,,0,False,True,True,False,False,2,False,False,False,False,False,False,False,False,False,
SCO0140,LIB#2:A3; LIB#2:B3,SCO0140,Q9RIX3,unreviewed,Q9RIX3_STRCO,MerR-family transcriptional regulator,SCO0140 SCJ33.04,275.0,,Q9RIX3,unreviewed,Q9RIX3_STRCO,MerR-family transcriptional regulator,SCO0140 SCJ33.04,275.0,,sco:SCO0140,GO:0003677;GO:0006355,2,,0,"SCO0610,SCO7552",2,False,,0,False,True,True,False,False,2,False,False,False,False,False,False,False,False,False,
SCO0143,LIB#2:C3; LIB#2:D3,SCO0143,Q9RIX0,unreviewed,Q9RIX0_STRCO,Membrane protein,SCO0143 SCJ33.07,178.0,,Q9RIX0,unreviewed,Q9RIX0_STRCO,Membrane protein,SCO0143 SCJ33.07,178.0,,sco:SCO0143,GO:0003677,1,,0,"SCO0143,SCO2869,SCO3173,SCO4385,SCO5574",5,True,SCO0143,1,False,True,True,False,False,2,False,False,False,False,False,False,False,False,False,
